zone;nom;categorie;telephone;lien_whatsapp;emplacement;rue;email;reseau;priorite;statut
Cité Enco 5;Perfect Body Cosmetiques;beauty;+224611010121;https://wa.me/224611010121;https://www.google.com/maps?q=9.6054437,-13.6003876;;perfectbodyconakry@gmail.com;;haute;à contacter
Cité Enco 5;Barry et fils;electrical;+224622946325;https://wa.me/224622946325;https://www.google.com/maps?q=9.6296702,-13.5930128;;;;normale;à contacter
Cité Enco 5;Cabinet médical;medical_supply;+224622459725;https://wa.me/224622459725;https://www.google.com/maps?q=9.6492752,-13.5934768;;;;normale;à contacter
Cité Enco 5;Café Diaspora;restaurant;+224627028783;https://wa.me/224627028783;https://www.google.com/maps?q=9.6139307,-13.5897808;;;;normale;à contacter
Cité Enco 5;Centre médico;medical_supply;+224621981511;https://wa.me/224621981511;https://www.google.com/maps?q=9.6477758,-13.591707;;;;normale;à contacter
Cité Enco 5;Ets Meubles et Decor Mariame Sylla;boutique;+224620597985;https://wa.me/224620597985;https://www.google.com/maps?q=9.6318027,-13.5738084;;;;normale;à contacter
Cité Enco 5;La G7;restaurant;+224613215372;https://wa.me/224613215372;https://www.google.com/maps?q=9.6315528,-13.606556;;;;normale;à contacter
Cité Enco 5;Logement Doumbouya;rental;+224620719292;https://wa.me/224620719292;https://www.google.com/maps?q=9.6377999,-13.5705411;;;;normale;à contacter
Cité Enco 5;Minthé Coiffure;hairdresser;+224628786800;https://wa.me/224628786800;https://www.google.com/maps?q=9.6267208,-13.5946289;;;;normale;à contacter
Cité Enco 5;Pizzeria la cuba;fast_food;+224623370774;https://wa.me/224623370774;https://www.google.com/maps?q=9.6296159,-13.5925355;;;;normale;à contacter
Cité Enco 5;Restaurant & pâtisserie GMS;fast_food;+224622526794;https://wa.me/224622526794;https://www.google.com/maps?q=9.6217153,-13.5825007;;;;normale;à contacter
Cité Enco 5;Restaurant Dantouma;restaurant;+224625761728;https://wa.me/224625761728;https://www.google.com/maps?q=9.6165811,-13.5867914;;;;normale;à contacter
Cité Enco 5;Restaurant Plaza;restaurant;+224621023264;https://wa.me/224621023264;https://www.google.com/maps?q=9.6307775,-13.5781626;;;;normale;à contacter
Cité Enco 5;Restaurant la Nathalie;restaurant;+224620715160;https://wa.me/224620715160;https://www.google.com/maps?q=9.62367,-13.5808467;;;;normale;à contacter
Cité Enco 5;Salon de Coiffure mes Jumeaux;hairdresser;+224662695220;https://wa.me/224662695220;https://www.google.com/maps?q=9.6307633,-13.5747273;;;;normale;à contacter
Cité Enco 5;Élégance Dior;clothes;+224662636573;https://wa.me/224662636573;https://www.google.com/maps?q=9.598826,-13.6032152;;;;normale;à contacter
Coleah / Matoto sud;Lakhissa Fashion;clothes;+224623087692;https://wa.me/224623087692;https://www.google.com/maps?q=9.5319882,-13.6870809;;lakhissafashion@hotmail.fr;lakhissafashion;haute;à contacter
Coleah / Matoto sud;City Market;supermarket;+224622182121;https://wa.me/224622182121;https://www.google.com/maps?q=9.5324132,-13.6804212;;;City Market Coleah;haute;à contacter
Coleah / Matoto sud;Black and white;restaurant;+224621011805;https://wa.me/224621011805;https://www.google.com/maps?q=9.5362263,-13.6774146;;;;normale;à contacter
Coleah / Matoto sud;Brasserie des Arts;restaurant;+224662193540;https://wa.me/224662193540;https://www.google.com/maps?q=9.5247835,-13.6893421;;;;normale;à contacter
Coleah / Matoto sud;Chez Mon Ami;restaurant;+224627027979;https://wa.me/224627027979;https://www.google.com/maps?q=9.5309516,-13.6877229;;;;normale;à contacter
Coleah / Matoto sud;City Market Four Donka;bakery;+224629222233;https://wa.me/224629222233;https://www.google.com/maps?q=9.5346953,-13.6858566;;;;normale;à contacter
